model,calibrator,split,cp_detector,cp_model,cp_penalty,cp_min_size,cp_jump,cp_period_length,cp_exclusion_radius,cp_score_threshold,num_windows,MAE_CP,tolerance_hit_rate,mean_signed_error,coverage_rate,sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap
seasonal_naive,global_median_offset,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.332972972972973,0.4267567567567568,0.2172972972972973,0.973305590963914,4.879403294570908,0.0,0.0,0.0,0.0,0.023305590963914047
seasonal_naive,gradient_boosting,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.862837837837838,0.1377027027027027,-1.903918918918919,0.9703732072732262,4.867632014920755,-0.47013513513513505,-0.28905405405405404,-0.002932383690687823,-0.011771279650153232,0.020373207273226224
seasonal_naive,per_series_median_offset,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.332972972972973,0.4267567567567568,0.2172972972972973,0.973305590963914,4.879403294570908,0.0,0.0,0.0,0.0,0.023305590963914047
seasonal_naive,random_forest,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,6.823108108108108,0.125,-1.3609459459459459,0.9705446916995821,4.94623091778005,-0.5098648648648654,-0.3017567567567568,-0.002760899264331873,0.06682762320914204,0.020544691699582174
seasonal_naive,raw_tau,test,clasp,normal,10.0,8,1,16,0.05,0.5,7400,7.332972972972973,0.4267567567567568,0.2172972972972973,0.973305590963914,4.879403294570908,0.0,0.0,0.0,0.0,0.023305590963914047
seasonal_naive,extra_trees,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,1.4550787401574803,0.8651968503937008,-0.009173228346456693,0.9834893264795237,6.194799441852962,-5.877894232815493,0.438440093636944,0.010183735515609693,1.315396147282054,0.03348932647952374
seasonal_naive,global_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,6.1780708661417325,0.46700787401574806,0.005,0.9815756559128758,6.175358141721675,-1.1549021068312406,0.040251117258991276,0.008270064948961764,1.2959548471507674,0.03157565591287581
seasonal_naive,gradient_boosting,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.061929133858268,0.3228740157480315,0.007755905511811024,0.9832622497807062,6.235403114491357,-2.2710438391147054,-0.1038827410087253,0.009956658816792197,1.3559998199204486,0.03326224978070624
seasonal_naive,per_series_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,6.1780708661417325,0.46700787401574806,0.005,0.9815756559128758,6.175358141721675,-1.1549021068312406,0.040251117258991276,0.008270064948961764,1.2959548471507674,0.03157565591287581
seasonal_naive,random_forest,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,1.719212598425197,0.8257874015748031,0.012913385826771654,0.9834453761507204,6.196480800714531,-5.613760374547776,0.39903064481804634,0.01013978518680636,1.3170775061436233,0.03344537615072041
seasonal_naive,raw_tau,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,6.1780708661417325,0.46700787401574806,0.005,0.9815756559128758,6.175358141721675,-1.1549021068312406,0.040251117258991276,0.008270064948961764,1.2959548471507674,0.03157565591287581
seasonal_naive,extra_trees,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.165555555555556,0.2702777777777778,2.13,0.978697160105063,5.426291945310522,-2.1674174174174174,-0.156478978978979,0.005391569141149022,0.5468886507396142,0.02869716010506307
seasonal_naive,global_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.371111111111111,0.6505555555555556,0.3661111111111111,0.9752869643453149,5.129945691917928,-2.9618618618618617,0.22379879879879877,0.0019813733814009193,0.25054239734701955,0.025286964345314966
seasonal_naive,gradient_boosting,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.9863888888888885,0.3136111111111111,1.8608333333333333,0.9783924192073834,5.4186904285368085,-2.3465840840840846,-0.11314564564564566,0.005086828243469399,0.5392871339659004,0.028392419207383446
seasonal_naive,per_series_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.371111111111111,0.6505555555555556,0.3661111111111111,0.9752869643453149,5.129945691917928,-2.9618618618618617,0.22379879879879877,0.0019813733814009193,0.25054239734701955,0.025286964345314966
seasonal_naive,random_forest,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.286666666666667,0.25305555555555553,2.3805555555555555,0.978508510977928,5.424464970567665,-2.046306306306306,-0.17370120120120125,0.005202920014014012,0.5450616759967568,0.02850851097792806
seasonal_naive,raw_tau,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.371111111111111,0.6505555555555556,0.3661111111111111,0.9752869643453149,5.129945691917928,-2.9618618618618617,0.22379879879879877,0.0019813733814009193,0.25054239734701955,0.025286964345314966
